job,backend,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,new_captures,max_used_pages,free_pages_after,expected_free_pages
graph-65536-4,vllm,1,pass,53641.96974807419,325.6013602088022,321.9406909192912,352.9343575704843,5.314068212689362,73094664704,0,52084,207790,207790
graph-65536-4,vllm,2,pass,53640.95730474219,326.04556559497036,322.37164745830734,353.47748768205446,5.31051085544316,73094664704,0,52084,207790,207790
graph-65536-4,vllm,3,pass,53653.990072896704,325.35702676702965,321.68323146054587,352.78803172210854,5.316892567600364,73094664704,0,52084,207790,207790
graph-65536-4,vllm,4,pass,53705.79752209596,327.6510194812967,324.0894809277961,354.2438406807681,5.295726870983995,73094664704,0,52084,207790,207790
graph-65536-8,vllm,0,pass,98983.61342493445,692.7124431501619,688.3439223602181,725.3307317150757,5.338749909446443,74720677888,0,102806,205366,205366
graph-65536-8,vllm,1,pass,98977.93713305146,692.8628517322124,688.4879854000507,725.5285203456879,5.337378183181062,74720677888,0,102806,205366,205366
graph-65536-8,vllm,2,pass,99029.57813686226,693.7371524844656,689.3556500383836,726.4523707485447,5.333108429683657,74720677888,0,102806,205366,205366
graph-65536-8,vllm,3,pass,99021.46974031348,697.7283873459633,693.3471497270928,730.4416282335296,5.3162277022531805,74720677888,0,102806,205366,205366
graph-65536-8,vllm,4,pass,99105.12127366383,694.3876819169941,690.0059479137001,727.104629141589,5.328310622653687,74720677888,0,102806,205366,205366
hf-130944,hf,0,pass,36301.29430256784,93.19378492811065,92.72034752315709,96.72878421843052,2.659082465537504,42428159488,,,,
hf-130944,hf,1,pass,36304.94881980121,93.02362339849782,92.54437511221373,96.60201060275237,2.660074724883307,42428159488,,,,
hf-130944,hf,2,pass,36307.901504449546,93.05004683858532,92.56966235781354,96.63691762834787,2.6597260310792192,42428159488,,,,
hf-130944,hf,3,pass,36296.81185632944,92.95721029437433,92.47287484218499,96.57358167072137,2.660991129398022,42428159488,,,,
hf-130944,hf,4,pass,36299.0056630224,93.08079759201665,92.5964523007029,96.69724243382613,2.6600018681073703,42428159488,,,,
hf-16384,hf,0,pass,1468.3281630277634,34.93643640063879,34.05531147395128,41.51550251990557,21.675607116046486,12480891392,,,,
hf-16384,hf,1,pass,1471.295466646552,35.07378346866041,34.20585308257224,41.55433035145203,21.60094759124736,12480891392,,,,
hf-16384,hf,2,pass,1471.8581605702639,34.84038974884457,33.963897672947496,41.38486391554276,21.707470050363742,12480891392,,,,
hf-16384,hf,3,pass,1471.152937039733,34.92495020132834,34.042340927823844,41.515099443495274,21.670594189877978,12480891392,,,,
hf-16384,hf,4,pass,1465.890632942319,34.94737291429925,34.0455506312927,41.68097929408153,21.67945672475436,12480891392,,,,
hf-32768,hf,0,pass,3791.769581846893,41.423089589600956,40.57473404931703,47.757477623720966,14.139737342169132,16758761984,,,,
hf-32768,hf,1,pass,3792.2955909743905,41.20002476513151,40.378866309765726,47.3313412318627,14.183298937983288,16758761984,,,,
hf-32768,hf,2,pass,3797.2739823162556,41.26396066120525,40.43263078866793,47.471223709483944,14.162743442254879,16758761984,,,,
hf-32768,hf,3,pass,3797.7808164432645,41.274955628190455,40.43731287155034,47.52935487776995,14.159761655134474,16758761984,,,,
hf-32768,hf,4,pass,3795.6499364227057,41.27295164200734,40.444612486421,47.457884003718696,14.163499103895052,16758761984,,,,
hf-4096,hf,0,pass,319.09578293561935,31.37483368591061,30.412990782809043,38.55659402906895,29.741852378444573,9285254656,,,,
hf-4096,hf,1,pass,318.1039607152343,31.880795933658213,30.97144255713959,38.67063447833061,29.310974258282815,9285254656,,,,
hf-4096,hf,2,pass,325.1756150275469,31.47948119701363,30.51611055187615,38.67264868070682,29.608590210594713,9285254656,,,,
hf-4096,hf,3,pass,318.6699179932475,31.57560492858408,30.60403886982905,38.82996483395497,29.56958868983605,9285254656,,,,
hf-4096,hf,4,pass,318.95101722329855,31.528192168966992,30.563718722467975,38.72959390282631,29.608852558509952,9285254656,,,,
hf-65536,hf,0,pass,11128.163795918226,59.543894611181706,59.05821758122848,63.17028310149908,6.848494769386141,25319675392,,,,
hf-65536,hf,1,pass,11134.402038529515,59.54444447282966,59.05995917107378,63.16193472594023,6.846184138438799,25319675392,,,,
hf-65536,hf,2,pass,11128.769251517951,59.56952379444453,59.08473849662447,63.18925401816765,6.847080544051013,25319675392,,,,
hf-65536,hf,3,pass,11130.366978235543,59.6042628524693,59.106384803141864,63.32175228744745,6.84488012221248,25319675392,,,,
hf-65536,hf,4,pass,11127.935733646154,59.63413793534979,59.142445413661854,63.30544209728638,6.844381293807264,25319675392,,,,
